id,children,city
1,1,Zurich
2,1,Zurich
3,1,Zurich
4,1,Zurich
5,1,Zurich
6,1,Zurich
7,1,Zurich
8,1,Zurich
9,1,Zurich
10,1,Zurich
11,1,Zurich
12,1,Zurich
13,1,Zurich
14,1,Zurich
15,1,Zurich
16,1,Zurich
17,1,Zurich
18,1,Zurich
19,1,Zurich
20,1,Zurich
21,1,Zurich
22,1,Zurich
23,1,Zurich
24,1,Zurich
25,1,Zurich
26,1,Zurich
27,1,Zurich
28,1,Zurich
29,1,Zurich
30,1,Zurich
31,1,Zurich
32,1,Zurich
33,1,Zurich
34,1,Zurich
35,1,Zurich
36,1,Zurich
37,1,Zurich
38,1,Zurich
39,1,Zurich
40,1,Zurich
41,1,Zurich
42,1,Zurich
43,1,Zurich
44,1,Zurich
45,1,Zurich
46,1,Zurich
47,1,Zurich
48,1,Zurich
49,1,Zurich
50,1,Zurich
51,1,Zurich
52,1,Zurich
53,1,Zurich
54,1,Zurich
55,1,Zurich
56,1,Zurich
57,1,Zurich
58,1,Zurich
59,1,Zurich
60,1,Zurich
61,1,Zurich
62,1,Zurich
63,1,Zurich
64,1,Zurich
65,1,Zurich
66,1,Zurich
67,1,Zurich
68,1,Zurich
69,1,Zurich
70,1,Zurich
71,1,Zurich
72,1,Zurich
73,1,Zurich
74,1,Zurich
75,1,Zurich
76,1,Zurich
77,1,Zurich
78,1,Zurich
79,1,Zurich
80,1,Zurich
81,1,Zurich
82,1,Zurich
83,1,Zurich
84,1,Zurich
85,1,Zurich
86,1,Zurich
87,1,Zurich
88,1,Zurich
89,1,Zurich
90,1,Zurich
91,1,Zurich
92,1,Zurich
93,1,Zurich
94,1,Zurich
95,1,Zurich
96,1,Zurich
97,1,Zurich
98,1,Zurich
99,1,Zurich
100,1,Zurich
101,1,Zurich
102,1,Zurich
103,1,Zurich
104,1,Zurich
105,1,Zurich
106,1,Zurich
107,1,Zurich
108,1,Zurich
109,1,Zurich
110,1,Zurich
111,1,Zurich
112,1,Zurich
113,1,Zurich
114,1,Zurich
115,1,Zurich
116,1,Zurich
117,1,Zurich
118,1,Zurich
119,1,Zurich
120,1,Zurich
121,1,Zurich
122,1,Zurich
123,1,Zurich
124,1,Zurich
125,1,Zurich
126,1,Zurich
127,1,Zurich
128,1,Zurich
129,1,Zurich
130,1,Zurich
131,1,Zurich
132,1,Zurich
133,1,Zurich
134,1,Zurich
135,1,Zurich
136,1,Zurich
137,1,Zurich
138,1,Zurich
139,1,Zurich
140,1,Zurich
141,1,Zurich
142,1,Zurich
143,1,Zurich
144,1,Zurich
145,1,Zurich
146,1,Zurich
147,1,Zurich
148,1,Zurich
149,1,Zurich
150,1,Zurich
151,1,Zurich
152,1,Zurich
153,1,Zurich
154,1,Zurich
155,1,Zurich
156,1,Zurich
157,1,Zurich
158,1,Zurich
159,1,Zurich
160,1,Zurich
161,1,Zurich
162,1,Zurich
163,1,Zurich
164,1,Zurich
165,1,Zurich
166,1,Zurich
167,1,Zurich
168,1,Zurich
169,1,Zurich
170,1,Zurich
171,1,Zurich
172,1,Zurich
173,1,Zurich
174,1,Zurich
175,1,Zurich
176,1,Zurich
177,1,Zurich
178,1,Zurich
179,1,Zurich
180,1,Zurich
181,1,Zurich
182,1,Zurich
183,1,Zurich
184,1,Zurich
185,1,Zurich
186,1,Zurich
187,1,Zurich
188,1,Zurich
189,1,Zurich
190,1,Zurich
191,1,Zurich
192,1,Zurich
193,1,Zurich
194,1,Zurich
195,1,Zurich
196,1,Zurich
197,1,Zurich
198,1,Zurich
199,1,Zurich
200,1,Zurich
201,1,Zurich
202,1,Zurich
203,1,Zurich
204,1,Zurich
205,1,Zurich
206,1,Zurich
207,1,Zurich
208,1,Zurich
209,1,Zurich
210,1,Zurich
211,1,Zurich
212,1,Zurich
213,1,Zurich
214,1,Zurich
215,1,Zurich
216,1,Zurich
217,1,Zurich
218,1,Zurich
219,1,Zurich
220,1,Zurich
221,1,Zurich
222,1,Zurich
223,1,Zurich
224,1,Zurich
225,1,Zurich
226,1,Zurich
227,1,Zurich
228,1,Zurich
229,1,Zurich
230,1,Zurich
231,1,Zurich
232,1,Zurich
233,1,Zurich
234,1,Zurich
235,1,Zurich
236,1,Zurich
237,1,Zurich
238,1,Zurich
239,1,Zurich
240,1,Zurich
241,1,Zurich
242,1,Zurich
243,1,Zurich
244,1,Zurich
245,1,Zurich
246,1,Zurich
247,1,Zurich
248,1,Zurich
249,1,Zurich
250,1,Zurich
251,1,Zurich
252,1,Zurich
253,1,Zurich
254,1,Zurich
255,1,Zurich
256,1,Zurich
257,1,Zurich
258,1,Zurich
259,1,Zurich
260,1,Zurich
261,1,Zurich
262,1,Zurich
263,1,Zurich
264,1,Zurich
265,1,Zurich
266,1,Zurich
267,1,Zurich
268,1,Zurich
269,1,Zurich
270,1,Zurich
271,1,Zurich
272,1,Zurich
273,1,Zurich
274,1,Zurich
275,1,Zurich
276,1,Zurich
277,1,Zurich
278,1,Zurich
279,1,Zurich
280,1,Zurich
281,1,Zurich
282,1,Zurich
283,1,Zurich
284,1,Zurich
285,1,Zurich
286,1,Zurich
287,1,Zurich
288,1,Zurich
